[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
189,1.5942,1.1899,0.8861,1.2814,1.1060,1.2115,0.1159,
190,1.5728,1.1576,0.8776,1.2426,1.1162,1.1934,0.1125,
191,1.5505,1.1288,0.8710,1.2028,1.1265,1.1759,0.1092,
192,1.5274,1.1034,0.8660,1.1624,1.1367,1.1592,0.1061,
193,1.5037,1.0814,0.8625,1.1215,1.1465,1.1431,0.1032,
194,1.4795,1.0627,0.8600,1.0805,1.1558,1.1277,0.1007,
195,1.4550,1.0472,0.8586,1.0396,1.1643,1.1129,0.0985,
196,1.4304,1.0347,0.8578,0.9990,1.1719,1.0987,0.0968,
197,1.4058,1.0250,0.8576,0.9591,1.1782,1.0852,0.0956,
198,1.3816,1.0183,0.8579,0.9200,1.1833,1.0722,0.0949,
199,1.3580,1.0143,0.8585,0.8819,1.1868,1.0599,0.0947,
200,1.3350,1.0129,0.8594,0.8449,1.1888,1.0482,0.0949,
201,1.3132,1.0139,0.8604,0.8092,1.1890,1.0372,0.0957,
202,1.2927,1.0173,0.8616,0.7750,1.1876,1.0268,0.0968,
203,1.2734,1.0228,0.8630,0.7422,1.1843,1.0172,0.0982,
204,1.2557,1.0306,0.8645,0.7111,1.1792,1.0082,0.1000,
205,1.2395,1.0403,0.8660,0.6816,1.1723,0.9999,0.1020,
206,1.2250,1.0519,0.8678,0.6537,1.1637,0.9924,0.1042,
207,1.2121,1.0652,0.8697,0.6275,1.1533,0.9856,0.1066,
208,1.2009,1.0801,0.8718,0.6030,1.1413,0.9794,0.1093,
209,1.1913,1.0965,0.8742,0.5800,1.1278,0.9740,0.1121,
210,1.1832,1.1143,0.8768,0.5586,1.1129,0.9691,0.1150,
211,1.1764,1.1332,0.8797,0.5387,1.0967,0.9649,0.1182,
212,1.1708,1.1532,0.8830,0.5202,1.0794,0.9613,0.1215,
213,1.1662,1.1740,0.8867,0.5031,1.0612,0.9582,0.1250,
214,1.1624,1.1957,0.8907,0.4874,1.0421,0.9557,0.1287,
215,1.1593,1.2180,0.8951,0.4728,1.0224,0.9535,0.1326,
216,1.1565,1.2406,0.8999,0.4593,1.0023,0.9517,0.1366,
217,1.1539,1.2635,0.9050,0.4470,0.9818,0.9502,0.1407,
218,1.1513,1.2864,0.9106,0.4357,0.9612,0.9490,0.1449,
219,1.1485,1.3093,0.9165,0.4252,0.9405,0.9480,0.1492,
220,1.1453,1.3317,0.9227,0.4157,0.9200,0.9471,0.1535,
221,1.1415,1.3536,0.9291,0.4069,0.8997,0.9462,0.1577,
222,1.1370,1.3748,0.9358,0.3988,0.8798,0.9452,0.1619,
223,1.1317,1.3950,0.9426,0.3914,0.8603,0.9442,0.1660,
224,1.1255,1.4140,0.9495,0.3845,0.8414,0.9430,0.1699,
225,1.1182,1.4316,0.9565,0.3782,0.8231,0.9415,0.1736,
226,1.1100,1.4477,0.9634,0.3723,0.8055,0.9398,0.1771,
227,1.1007,1.4619,0.9701,0.3669,0.7886,0.9376,0.1803,
228,1.0904,1.4742,0.9767,0.3618,0.7725,0.9351,0.1832,
229,1.0791,1.4843,0.9829,0.3570,0.7572,0.9321,0.1858,
230,1.0670,1.4921,0.9888,0.3526,0.7426,0.9286,0.1880,
231,1.0540,1.4974,0.9942,0.3482,0.7289,0.9246,0.1898,
232,1.0403,1.5001,0.9990,0.3442,0.7160,0.9199,0.1911,
233,1.0260,1.5002,1.0031,0.3403,0.7039,0.9147,0.1920,
234,1.0113,1.4975,1.0064,0.3365,0.6926,0.9089,0.1925,
235,0.9962,1.4919,1.0089,0.3328,0.6820,0.9024,0.1924,
236,0.9811,1.4834,1.0106,0.3292,0.6722,0.8953,0.1919,
237,0.9659,1.4721,1.0112,0.3256,0.6631,0.8876,0.1910,
238,0.9508,1.4579,1.0107,0.3222,0.6546,0.8792,0.1895,
239,0.9360,1.4409,1.0091,0.3187,0.6468,0.8703,0.1875,
240,0.9217,1.4212,1.0062,0.3153,0.6396,0.8608,0.1851,
241,0.9079,1.3989,1.0022,0.3120,0.6330,0.8508,0.1823,
242,0.8947,1.3742,0.9968,0.3088,0.6269,0.8403,0.1790,
243,0.8822,1.3471,0.9902,0.3056,0.6212,0.8293,0.1753,
244,0.8707,1.3178,0.9822,0.3026,0.6161,0.8179,0.1712,
245,0.8600,1.2866,0.9729,0.2996,0.6113,0.8061,0.1667,
246,0.8502,1.2536,0.9623,0.2969,0.6070,0.7940,0.1620,
247,0.8414,1.2192,0.9503,0.2944,0.6030,0.7817,0.1570,
248,0.8336,1.1834,0.9371,0.2921,0.5993,0.7691,0.1517,
249,0.8268,1.1465,0.9227,0.2900,0.5959,0.7564,0.1463,
250,0.8209,1.1088,0.9070,0.2883,0.5927,0.7436,0.1407,
251,0.8159,1.0706,0.8902,0.2870,0.5898,0.7307,0.1351,
252,0.8118,1.0319,0.8724,0.2861,0.5870,0.7178,0.1294,
253,0.8085,0.9931,0.8536,0.2856,0.5843,0.7050,0.1237,
254,0.8060,0.9543,0.8339,0.2856,0.5819,0.6923,0.1182,
255,0.8040,0.9158,0.8134,0.2861,0.5795,0.6798,0.1127,
256,0.8027,0.8777,0.7922,0.2873,0.5772,0.6674,0.1074,
257,0.8017,0.8402,0.7704,0.2890,0.5749,0.6553,0.1023,
258,0.8011,0.8035,0.7481,0.2914,0.5727,0.6434,0.0976,
259,0.8008,0.7677,0.7254,0.2944,0.5704,0.6317,0.0931,
260,0.8006,0.7328,0.7025,0.2981,0.5681,0.6204,0.0890,
261,0.8005,0.6991,0.6794,0.3026,0.5657,0.6095,0.0853,
262,0.8003,0.6666,0.6562,0.3078,0.5632,0.5988,0.0820,
263,0.7999,0.6353,0.6332,0.3137,0.5606,0.5885,0.0791,
264,0.7993,0.6053,0.6102,0.3203,0.5579,0.5786,0.0767,
265,0.7983,0.5766,0.5876,0.3277,0.5550,0.5690,0.0746,
266,0.7969,0.5493,0.5653,0.3358,0.5519,0.5598,0.0730,
267,0.7950,0.5233,0.5435,0.3445,0.5486,0.5510,0.0718,
268,0.7925,0.4986,0.5223,0.3539,0.5451,0.5425,0.0709,
269,0.7894,0.4752,0.5016,0.3640,0.5414,0.5343,0.0703,
270,0.7856,0.4530,0.4817,0.3746,0.5374,0.5265,0.0699,
271,0.7810,0.4321,0.4625,0.3858,0.5332,0.5189,0.0698,
272,0.7757,0.4125,0.4441,0.3974,0.5287,0.5117,0.0698,
273,0.7695,0.3939,0.4266,0.4095,0.5240,0.5047,0.0700,
274,0.7625,0.3764,0.4100,0.4220,0.5190,0.4980,0.0703,
275,0.7547,0.3600,0.3944,0.4347,0.5138,0.4915,0.0706,
276,0.7460,0.3444,0.3797,0.4477,0.5082,0.4852,0.0710,
277,0.7364,0.3298,0.3659,0.4608,0.5025,0.4791,0.0715,
278,0.7260,0.3161,0.3532,0.4739,0.4965,0.4731,0.0720,
279,0.7148,0.3031,0.3414,0.4871,0.4903,0.4673,0.0725,
280,0.7028,0.2909,0.3307,0.5002,0.4838,0.4617,0.0730,
281,0.6901,0.2794,0.3209,0.5130,0.4771,0.4561,0.0735,
282,0.6766,0.2685,0.3121,0.5256,0.4702,0.4506,0.0740,
283,0.6625,0.2582,0.3042,0.5379,0.4631,0.4452,0.0745,
